year,node_id,zone,impervious_pct,pervious_pct,runoff_coefficient,horton_f0_mm_hr,horton_finf_mm_hr,horton_decay_k
2021,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,87.5,12.5,0.806,19.38,3.25,3.5
2022,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,88.76,11.24,0.816,18.43,3.12,3.5
2023,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,89.7,10.3,0.823,17.72,3.03,3.5
2024,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,90.39,9.61,0.828,17.21,2.96,3.5
2025,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,90.88,9.12,0.832,16.84,2.91,3.5
2010,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,74.35,25.65,0.708,29.24,4.56,3.5
2011,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,74.68,25.32,0.71,28.99,4.53,3.5
2012,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,75.15,24.85,0.714,28.64,4.49,3.5
2013,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,75.78,24.22,0.718,28.16,4.42,3.5
2014,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,76.63,23.37,0.725,27.53,4.34,3.5
2015,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,77.71,22.29,0.733,26.72,4.23,3.5
2016,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,79.01,20.99,0.743,25.75,4.1,3.5
2017,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,80.46,19.54,0.753,24.66,3.95,3.5
2018,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,81.97,18.03,0.765,23.52,3.8,3.5
2019,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,83.42,16.58,0.776,22.43,3.66,3.5
2020,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,84.72,15.28,0.785,21.46,3.53,3.5
2021,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,85.8,14.2,0.793,20.65,3.42,3.5
2022,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,86.64,13.36,0.8,20.02,3.34,3.5
2023,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,87.28,12.72,0.805,19.54,3.27,3.5
2024,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,87.75,12.25,0.808,19.19,3.23,3.5
2025,J_HUS_036,Hussain Sagar Surplus & Ashok Nagar,88.08,11.92,0.811,18.94,3.19,3.5
2010,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,70.09,29.91,0.676,32.43,4.99,3.5
2011,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,70.57,29.43,0.679,32.07,4.94,3.5
2012,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,71.25,28.75,0.684,31.56,4.87,3.5
2013,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,72.19,27.81,0.691,30.86,4.78,3.5
2014,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,73.43,26.57,0.701,29.93,4.66,3.5
2015,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,75.01,24.99,0.713,28.74,4.5,3.5
2016,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,76.91,23.09,0.727,27.32,4.31,3.5
2017,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,79.04,20.96,0.743,25.72,4.1,3.5
2018,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,81.26,18.74,0.759,24.06,3.87,3.5
2019,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,83.39,16.61,0.775,22.46,3.66,3.5
2020,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,85.28,14.72,0.79,21.04,3.47,3.5
2021,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,86.86,13.14,0.801,19.85,3.31,3.5
2022,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,88.11,11.89,0.811,18.92,3.19,3.5
2023,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,89.04,10.96,0.818,18.22,3.1,3.5
2024,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,89.72,10.28,0.823,17.71,3.03,3.5
2025,J_HUS_037,Hussain Sagar Surplus & Ashok Nagar,90.21,9.79,0.827,17.34,2.98,3.5
2010,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,74.08,25.92,0.706,29.44,4.59,3.5
2011,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,74.46,25.54,0.708,29.15,4.55,3.5
2012,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,75.0,25.0,0.713,28.75,4.5,3.5
2013,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,75.75,24.25,0.718,28.19,4.43,3.5
2014,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,76.74,23.26,0.726,27.45,4.33,3.5
2015,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,77.99,22.01,0.735,26.5,4.2,3.5
2016,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,79.5,20.5,0.746,25.37,4.05,3.5
2017,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,81.2,18.8,0.759,24.1,3.88,3.5
2018,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,82.96,17.04,0.772,22.78,3.7,3.5
2019,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,84.65,15.35,0.785,21.51,3.53,3.5
2020,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,86.16,13.84,0.796,20.38,3.38,3.5
2021,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,87.42,12.58,0.806,19.44,3.26,3.5
2022,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,88.41,11.59,0.813,18.69,3.16,3.5
2023,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,89.15,10.85,0.819,18.14,3.08,3.5
2024,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,89.69,10.31,0.823,17.73,3.03,3.5
2025,J_HUS_038,Hussain Sagar Surplus & Ashok Nagar,90.08,9.92,0.826,17.44,2.99,3.5
2010,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,74.32,25.68,0.707,29.26,4.57,3.5
2011,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,74.64,25.36,0.71,29.02,4.54,3.5
2012,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,75.09,24.91,0.713,28.68,4.49,3.5
2013,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,75.71,24.29,0.718,28.22,4.43,3.5
2014,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,76.53,23.47,0.724,27.6,4.35,3.5
2015,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,77.57,22.43,0.732,26.82,4.24,3.5
2016,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,78.83,21.17,0.741,25.88,4.12,3.5
2017,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,80.23,19.77,0.752,24.83,3.98,3.5
2018,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,81.69,18.31,0.763,23.73,3.83,3.5
2019,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,83.1,16.9,0.773,22.68,3.69,3.5
2020,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,84.35,15.65,0.783,21.74,3.56,3.5
2021,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,85.39,14.61,0.79,20.95,3.46,3.5
2022,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,86.22,13.78,0.797,20.34,3.38,3.5
2023,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,86.83,13.17,0.801,19.88,3.32,3.5
2024,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,87.28,12.72,0.805,19.54,3.27,3.5
2025,J_HUS_039,Hussain Sagar Surplus & Ashok Nagar,87.6,12.4,0.807,19.3,3.24,3.5
2010,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,71.97,28.03,0.69,31.02,4.8,3.5
2011,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,72.35,27.65,0.693,30.74,4.77,3.5
2012,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,72.88,27.12,0.697,30.34,4.71,3.5
2013,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,73.61,26.39,0.702,29.8,4.64,3.5
2014,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,74.58,25.42,0.709,29.07,4.54,3.5
2015,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,75.81,24.19,0.719,28.14,4.42,3.5
2016,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,77.29,22.71,0.73,27.04,4.27,3.5
2017,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,78.94,21.06,0.742,25.79,4.11,3.5
2018,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,80.67,19.33,0.755,24.5,3.93,3.5
2019,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,82.33,17.67,0.767,23.25,3.77,3.5
2020,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,83.81,16.19,0.779,22.14,3.62,3.5
2021,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,85.04,14.96,0.788,21.22,3.5,3.5
2022,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,86.01,13.99,0.795,20.49,3.4,3.5
2023,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,86.74,13.26,0.801,19.95,3.33,3.5
2024,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,87.27,12.73,0.804,19.55,3.27,3.5
2025,J_HUS_040,Hussain Sagar Surplus & Ashok Nagar,87.64,12.36,0.807,19.27,3.24,3.5
2010,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,74.95,25.05,0.712,28.79,4.5,3.5
2011,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,75.31,24.69,0.715,28.52,4.47,3.5
2012,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,75.81,24.19,0.719,28.15,4.42,3.5
2013,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,76.49,23.51,0.724,27.63,4.35,3.5
2014,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,77.41,22.59,0.731,26.95,4.26,3.5
2015,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,78.57,21.43,0.739,26.08,4.14,3.5
2016,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,79.96,20.04,0.75,25.03,4.0,3.5
2017,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,81.52,18.48,0.761,23.86,3.85,3.5
2018,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,83.15,16.85,0.774,22.64,3.69,3.5
2019,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,84.71,15.29,0.785,21.47,3.53,3.5
2020,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,86.11,13.89,0.796,20.42,3.39,3.5
2021,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,87.27,12.73,0.804,19.55,3.27,3.5
2022,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,88.18,11.82,0.811,18.87,3.18,3.5
2023,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,88.87,11.13,0.816,18.35,3.11,3.5
2024,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,89.37,10.63,0.82,17.98,3.06,3.5
2025,J_HUS_041,Hussain Sagar Surplus & Ashok Nagar,89.72,10.28,0.823,17.71,3.03,3.5
2010,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,71.8,28.2,0.689,31.15,4.82,3.5
2011,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,72.18,27.82,0.691,30.87,4.78,3.5
2012,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,72.71,27.29,0.695,30.47,4.73,3.5
2013,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,73.43,26.57,0.701,29.92,4.66,3.5
2014,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,74.4,25.6,0.708,29.2,4.56,3.5
2015,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,75.63,24.37,0.717,28.28,4.44,3.5
2016,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,77.1,22.9,0.728,27.17,4.29,3.5
2017,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,78.76,21.24,0.741,25.93,4.12,3.5
2018,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,80.48,19.52,0.754,24.64,3.95,3.5
2019,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,82.14,17.86,0.766,23.4,3.79,3.5
2020,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,83.61,16.39,0.777,22.29,3.64,3.5
2021,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,84.84,15.16,0.786,21.37,3.52,3.5
2022,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,85.8,14.2,0.794,20.65,3.42,3.5
2023,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,86.53,13.47,0.799,20.1,3.35,3.5
2024,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,87.06,12.94,0.803,19.7,3.29,3.5
2025,J_HUS_042,Hussain Sagar Surplus & Ashok Nagar,87.44,12.56,0.806,19.42,3.26,3.5
2010,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,71.74,28.26,0.688,31.19,4.83,3.5
2011,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,72.14,27.86,0.691,30.89,4.79,3.5
2012,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,72.7,27.3,0.695,30.47,4.73,3.5
2013,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,73.48,26.52,0.701,29.89,4.65,3.5
2014,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,74.51,25.49,0.709,29.12,4.55,3.5
2015,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,75.82,24.18,0.719,28.13,4.42,3.5
2016,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,77.4,22.6,0.73,26.95,4.26,3.5
2017,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,79.16,20.84,0.744,25.63,4.08,3.5
2018,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,81.0,19.0,0.758,24.25,3.9,3.5
2019,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,82.77,17.23,0.771,22.92,3.72,3.5
2020,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,84.34,15.66,0.783,21.74,3.57,3.5
2021,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,85.65,14.35,0.792,20.76,3.43,3.5
2022,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,86.69,13.31,0.8,19.99,3.33,3.5
2023,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,87.46,12.54,0.806,19.4,3.25,3.5
2024,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,88.03,11.97,0.81,18.98,3.2,3.5
2025,J_HUS_043,Hussain Sagar Surplus & Ashok Nagar,88.43,11.57,0.813,18.68,3.16,3.5
2010,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,74.19,25.81,0.706,29.36,4.58,3.5
2011,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,74.56,25.44,0.709,29.08,4.54,3.5
2012,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,75.09,24.91,0.713,28.68,4.49,3.5
2013,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,75.81,24.19,0.719,28.14,4.42,3.5
2014,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,76.77,23.23,0.726,27.42,4.32,3.5
2015,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,78.0,22.0,0.735,26.5,4.2,3.5
2016,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,79.46,20.54,0.746,25.4,4.05,3.5
2017,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,81.11,18.89,0.758,24.17,3.89,3.5
2018,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,82.82,17.18,0.771,22.89,3.72,3.5
2019,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,84.47,15.53,0.783,21.65,3.55,3.5
2020,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,85.93,14.07,0.794,20.55,3.41,3.5
2021,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,87.15,12.85,0.804,19.64,3.28,3.5
2022,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,88.11,11.89,0.811,18.91,3.19,3.5
2023,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,88.84,11.16,0.816,18.37,3.12,3.5
2024,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,89.36,10.64,0.82,17.98,3.06,3.5
2025,J_HUS_044,Hussain Sagar Surplus & Ashok Nagar,89.74,10.26,0.823,17.7,3.03,3.5
2010,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,75.06,24.94,0.713,28.7,4.49,3.5
2011,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,75.4,24.6,0.715,28.45,4.46,3.5
2012,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,75.88,24.12,0.719,28.09,4.41,3.5
2013,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,76.53,23.47,0.724,27.6,4.35,3.5
2014,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,77.4,22.6,0.731,26.95,4.26,3.5
2015,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,78.51,21.49,0.739,26.12,4.15,3.5
2016,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,79.84,20.16,0.749,25.12,4.02,3.5
2017,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,81.33,18.67,0.76,24.0,3.87,3.5
2018,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,82.88,17.12,0.772,22.84,3.71,3.5
2019,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,84.37,15.63,0.783,21.72,3.56,3.5
2020,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,85.7,14.3,0.793,20.72,3.43,3.5
2021,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,86.81,13.19,0.801,19.89,3.32,3.5
2022,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,87.68,12.32,0.808,19.24,3.23,3.5
2023,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,88.34,11.66,0.813,18.75,3.17,3.5
2024,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,88.81,11.19,0.816,18.39,3.12,3.5
2025,J_HUS_045,Hussain Sagar Surplus & Ashok Nagar,89.15,10.85,0.819,18.14,3.08,3.5
2010,J_MUR_046,Murki Nala & Old City Zone,76.39,23.61,0.723,27.71,4.36,3.5
2011,J_MUR_046,Murki Nala & Old City Zone,76.69,23.31,0.725,27.48,4.33,3.5
2012,J_MUR_046,Murki Nala & Old City Zone,77.13,22.87,0.728,27.15,4.29,3.5
2013,J_MUR_046,Murki Nala & Old City Zone,77.72,22.28,0.733,26.71,4.23,3.5
2014,J_MUR_046,Murki Nala & Old City Zone,78.51,21.49,0.739,26.11,4.15,3.5
2015,J_MUR_046,Murki Nala & Old City Zone,79.52,20.48,0.746,25.36,4.05,3.5
2016,J_MUR_046,Murki Nala & Old City Zone,80.73,19.27,0.755,24.46,3.93,3.5
2017,J_MUR_046,Murki Nala & Old City Zone,82.08,17.92,0.766,23.44,3.79,3.5
2018,J_MUR_046,Murki Nala & Old City Zone,83.49,16.51,0.776,22.38,3.65,3.5
2019,J_MUR_046,Murki Nala & Old City Zone,84.84,15.16,0.786,21.37,3.52,3.5
2020,J_MUR_046,Murki Nala & Old City Zone,86.05,13.95,0.795,20.46,3.39,3.5
2021,J_MUR_046,Murki Nala & Old City Zone,87.06,12.94,0.803,19.71,3.29,3.5
2022,J_MUR_046,Murki Nala & Old City Zone,87.85,12.15,0.809,19.11,3.22,3.5
2023,J_MUR_046,Murki Nala & Old City Zone,88.44,11.56,0.813,18.67,3.16,3.5
2024,J_MUR_046,Murki Nala & Old City Zone,88.88,11.12,0.817,18.34,3.11,3.5
2025,J_MUR_046,Murki Nala & Old City Zone,89.18,10.82,0.819,18.11,3.08,3.5
2010,J_MUR_047,Murki Nala & Old City Zone,80.02,19.98,0.75,24.98,4.0,3.5
2011,J_MUR_047,Murki Nala & Old City Zone,80.23,19.77,0.752,24.82,3.98,3.5
2012,J_MUR_047,Murki Nala & Old City Zone,80.53,19.47,0.754,24.6,3.95,3.5
2013,J_MUR_047,Murki Nala & Old City Zone,80.94,19.06,0.757,24.3,3.91,3.5
2014,J_MUR_047,Murki Nala & Old City Zone,81.48,18.52,0.761,23.89,3.85,3.5
2015,J_MUR_047,Murki Nala & Old City Zone,82.17,17.83,0.766,23.37,3.78,3.5
2016,J_MUR_047,Murki Nala & Old City Zone,82.99,17.01,0.772,22.75,3.7,3.5
2017,J_MUR_047,Murki Nala & Old City Zone,83.92,16.08,0.779,22.06,3.61,3.5
2018,J_MUR_047,Murki Nala & Old City Zone,84.89,15.11,0.787,21.33,3.51,3.5
2019,J_MUR_047,Murki Nala & Old City Zone,85.81,14.19,0.794,20.64,3.42,3.5
2020,J_MUR_047,Murki Nala & Old City Zone,86.64,13.36,0.8,20.02,3.34,3.5
2021,J_MUR_047,Murki Nala & Old City Zone,87.33,12.67,0.805,19.5,3.27,3.5
2022,J_MUR_047,Murki Nala & Old City Zone,87.87,12.13,0.809,19.1,3.21,3.5
2023,J_MUR_047,Murki Nala & Old City Zone,88.28,11.72,0.812,18.79,3.17,3.5
2024,J_MUR_047,Murki Nala & Old City Zone,88.58,11.42,0.814,18.57,3.14,3.5
2025,J_MUR_047,Murki Nala & Old City Zone,88.79,11.21,0.816,18.41,3.12,3.5
2010,J_MUR_048,Murki Nala & Old City Zone,80.07,19.93,0.751,24.95,3.99,3.5
2011,J_MUR_048,Murki Nala & Old City Zone,80.27,19.73,0.752,24.8,3.97,3.5
2012,J_MUR_048,Murki Nala & Old City Zone,80.56,19.44,0.754,24.58,3.94,3.5
2013,J_MUR_048,Murki Nala & Old City Zone,80.95,19.05,0.757,24.29,3.9,3.5
2014,J_MUR_048,Murki Nala & Old City Zone,81.48,18.52,0.761,23.89,3.85,3.5
2015,J_MUR_048,Murki Nala & Old City Zone,82.14,17.86,0.766,23.39,3.79,3.5
2016,J_MUR_048,Murki Nala & Old City Zone,82.94,17.06,0.772,22.8,3.71,3.5
2017,J_MUR_048,Murki Nala & Old City Zone,83.83,16.17,0.779,22.12,3.62,3.5
2018,J_MUR_048,Murki Nala & Old City Zone,84.77,15.23,0.786,21.43,3.52,3.5
2019,J_MUR_048,Murki Nala & Old City Zone,85.66,14.34,0.792,20.75,3.43,3.5
2020,J_MUR_048,Murki Nala & Old City Zone,86.46,13.54,0.798,20.15,3.35,3.5
2021,J_MUR_048,Murki Nala & Old City Zone,87.13,12.87,0.803,19.66,3.29,3.5
2022,J_MUR_048,Murki Nala & Old City Zone,87.65,12.35,0.807,19.26,3.24,3.5
2023,J_MUR_048,Murki Nala & Old City Zone,88.04,11.96,0.81,18.97,3.2,3.5
2024,J_MUR_048,Murki Nala & Old City Zone,88.33,11.67,0.812,18.75,3.17,3.5
2025,J_MUR_048,Murki Nala & Old City Zone,88.53,11.47,0.814,18.6,3.15,3.5
2010,J_MUR_049,Murki Nala & Old City Zone,78.64,21.36,0.74,26.02,4.14,3.5
2011,J_MUR_049,Murki Nala & Old City Zone,78.87,21.13,0.742,25.85,4.11,3.5
2012,J_MUR_049,Murki Nala & Old City Zone,79.19,20.81,0.744,25.61,4.08,3.5
2013,J_MUR_049,Murki Nala & Old City Zone,79.64,20.36,0.747,25.27,4.04,3.5
2014,J_MUR_049,Murki Nala & Old City Zone,80.23,19.77,0.752,24.83,3.98,3.5
2015,J_MUR_049,Murki Nala & Old City Zone,80.98,19.02,0.757,24.26,3.9,3.5
2016,J_MUR_049,Murki Nala & Old City Zone,81.88,18.12,0.764,23.59,3.81,3.5
2017,J_MUR_049,Murki Nala & Old City Zone,82.9,17.1,0.772,22.83,3.71,3.5
2018,J_MUR_049,Murki Nala & Old City Zone,83.95,16.05,0.78,22.04,3.6,3.5
2019,J_MUR_049,Murki Nala & Old City Zone,84.96,15.04,0.787,21.28,3.5,3.5
2020,J_MUR_049,Murki Nala & Old City Zone,85.87,14.13,0.794,20.6,3.41,3.5
2021,J_MUR_049,Murki Nala & Old City Zone,86.62,13.38,0.8,20.04,3.34,3.5
2022,J_MUR_049,Murki Nala & Old City Zone,87.21,12.79,0.804,19.59,3.28,3.5
2023,J_MUR_049,Murki Nala & Old City Zone,87.66,12.34,0.807,19.26,3.23,3.5
2024,J_MUR_049,Murki Nala & Old City Zone,87.98,12.02,0.81,19.02,3.2,3.5
2025,J_MUR_049,Murki Nala & Old City Zone,88.21,11.79,0.812,18.84,3.18,3.5
2010,J_MUR_050,Murki Nala & Old City Zone,75.73,24.27,0.718,28.2,4.43,3.5
2011,J_MUR_050,Murki Nala & Old City Zone,76.0,24.0,0.72,28.0,4.4,3.5
2012,J_MUR_050,Murki Nala & Old City Zone,76.38,23.62,0.723,27.72,4.36,3.5
2013,J_MUR_050,Murki Nala & Old City Zone,76.89,23.11,0.727,27.33,4.31,3.5
2014,J_MUR_050,Murki Nala & Old City Zone,77.58,22.42,0.732,26.81,4.24,3.5
2015,J_MUR_050,Murki Nala & Old City Zone,78.45,21.55,0.738,26.16,4.15,3.5
2016,J_MUR_050,Murki Nala & Old City Zone,79.5,20.5,0.746,25.37,4.05,3.5
2017,J_MUR_050,Murki Nala & Old City Zone,80.68,19.32,0.755,24.49,3.93,3.5
2018,J_MUR_050,Murki Nala & Old City Zone,81.9,18.1,0.764,23.57,3.81,3.5
2019,J_MUR_050,Murki Nala & Old City Zone,83.08,16.92,0.773,22.69,3.69,3.5
2020,J_MUR_050,Murki Nala & Old City Zone,84.13,15.87,0.781,21.9,3.59,3.5
2021,J_MUR_050,Murki Nala & Old City Zone,85.0,15.0,0.788,21.25,3.5,3.5
2022,J_MUR_050,Murki Nala & Old City Zone,85.69,14.31,0.793,20.73,3.43,3.5
2023,J_MUR_050,Murki Nala & Old City Zone,86.21,13.79,0.797,20.34,3.38,3.5
2024,J_MUR_050,Murki Nala & Old City Zone,86.58,13.42,0.799,20.06,3.34,3.5
2025,J_MUR_050,Murki Nala & Old City Zone,86.85,13.15,0.801,19.86,3.32,3.5
2010,J_MUR_051,Murki Nala & Old City Zone,75.87,24.13,0.719,28.1,4.41,3.5
2011,J_MUR_051,Murki Nala & Old City Zone,76.18,23.82,0.721,27.86,4.38,3.5
2012,J_MUR_051,Murki Nala & Old City Zone,76.62,23.38,0.725,27.53,4.34,3.5
2013,J_MUR_051,Murki Nala & Old City Zone,77.23,22.77,0.729,27.08,4.28,3.5
2014,J_MUR_051,Murki Nala & Old City Zone,78.03,21.97,0.735,26.48,4.2,3.5
2015,J_MUR_051,Murki Nala & Old City Zone,79.05,20.95,0.743,25.71,4.1,3.5
2016,J_MUR_051,Murki Nala & Old City Zone,80.28,19.72,0.752,24.79,3.97,3.5
2017,J_MUR_051,Murki Nala & Old City Zone,81.65,18.35,0.762,23.76,3.83,3.5
2018,J_MUR_051,Murki Nala & Old City Zone,83.08,16.92,0.773,22.69,3.69,3.5
2019,J_MUR_051,Murki Nala & Old City Zone,84.46,15.54,0.783,21.66,3.55,3.5
2020,J_MUR_051,Murki Nala & Old City Zone,85.68,14.32,0.793,20.74,3.43,3.5
2021,J_MUR_051,Murki Nala & Old City Zone,86.71,13.29,0.8,19.97,3.33,3.5
